DATE,USSTHPI
2007-01-01,378.22
2007-04-01,377.96
2007-07-01,373.73
2007-10-01,372.56
2008-01-01,369.86
2008-04-01,360.54
2008-07-01,349.2
2008-10-01,345.99
2009-01-01,348.53
2009-04-01,339.32
2009-07-01,330.35
2009-10-01,327.89
2010-01-01,323.96
2010-04-01,321.06
2010-07-01,324.1
2010-10-01,321.75
2011-01-01,312.9
2011-04-01,307.43
2011-07-01,309.73
2011-10-01,311.09
2012-01-01,307.81
2012-04-01,306.54
2012-07-01,310.51
2012-10-01,313.02
2013-01-01,314.64
2013-04-01,319.56
2013-07-01,324.53
2013-10-01,327.26
2014-01-01,330.16
2014-04-01,336.46
2014-07-01,341.32
2014-10-01,344.13
2015-01-01,347.56
2015-04-01,353.68
2015-07-01,359.16
2015-10-01,362.42
2016-01-01,365.78
2016-04-01,372.95
2016-07-01,379.67
2016-10-01,383.16
2017-01-01,386.71
2017-04-01,396.7
2017-07-01,403.46
2017-10-01,407.67
2018-01-01,413.53
2018-04-01,423.91
2018-07-01,430.76
2018-10-01,432.14
